"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"p_0001";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"v_2889";"v_2890";"v_2891";"v_2892";"v_1752";"v_1751";"v_1749";"v_1750";"v_1747";"v_1748";"v_1753";"v_1762";"v_2937";"v_2938";"dupl1_v_69";"v_71";"v_2851";"v_2852";"v_2853";"v_2854";"v_2855";"v_2856";"v_1709";"v_1710";"v_1711";"v_1712";"v_1713";"v_1714";"v_1715";"v_1717";"v_1718";"v_1720";"v_1722";"v_1724";"v_1726";"v_1728";"v_1730";"v_1732";"v_1734";"v_1707";"v_1719";"v_2894";"v_2895";"v_2896";"v_2897";"v_2898";"v_2899";"v_2900";"v_2901";"v_2902";"v_2903";"v_2904";"v_2905";"v_2906";"v_2907";"v_2908";"v_2909";"v_2910";"v_2911";"v_2918";"v_2702";"v_2703";"v_2704";"v_2705";"v_2706";"v_2707";"v_2708";"v_2709";"v_2710";"v_2711";"v_2712";"v_2713";"v_2714";"v_2715";"v_2716";"v_2717";"v_2718";"v_2719";"v_2720";"v_2721";"v_2722";"v_2723";"v_2724";"v_2725";"v_2726";"v_2727";"v_2728";"v_2729";"v_2730";"v_2731";"v_2732";"v_2733";"v_2734";"v_2735";"v_2736";"v_2737";"v_2738";"v_2739";"v_2740";"v_2741";"v_2742";"v_2743";"v_2744";"v_2745";"v_2746";"v_2747";"v_2748";"v_2749";"v_2750";"v_2751";"v_2752";"v_2753";"v_2754";"v_2755";"v_2756";"v_2757";"v_2758";"v_2759";"v_2760";"v_2761";"v_2762";"v_2763";"v_2764";"v_2765";"v_2766";"v_2767";"v_2768";"v_2769";"v_2770";"v_2771";"v_2772";"v_2773";"v_2774";"v_2775";"v_2776";"v_2777";"v_2778";"v_2779";"v_2780";"v_2781";"v_2782";"v_2783";"v_2785";"v_2787";"v_2789";"v_2791";"v_2793";"v_2795";"v_2797";"v_2799";"v_2784";"v_2786";"v_2788";"v_2790";"v_2792";"v_2794";"v_2796";"v_2798";"v_2800";"v_2801";"v_2802";"v_2803";"v_2804";"v_2805";"v_2806";"v_2807";"v_2808";"v_2809";"v_1573";"v_1574";"v_1575";"v_2936";"v_2919";"v_1588";"v_1589";"v_1590";"v_1591";"v_1592";"v_1593";"v_1594";"v_1595";"v_2934";"v_1599";"v_1600";"v_1601";"v_1577";"v_1578";"v_1579";"v_2922";"v_2923";"v_2924";"v_2925";"v_2926";"v_2927";"v_2928";"v_2929";"v_1596";"v_1597";"v_1598";"v_1625";"v_1626";"v_1627";"v_1628";"v_1629";"v_1630";"v_1631";"v_1632";"v_1633";"v_1634";"v_1635";"v_1754";"v_2884";"v_2885";"v_2886";"v_2887";"v_1642";"v_1643";"v_1644";"v_1645";"v_1646";"v_1647";"v_2931";"v_2932";"v_2933";"v_1658";"v_1659";"v_1660";"v_1661";"v_1662";"v_1663";"v_1664";"v_1665";"v_2920";"rts7288964";"rts7288965";"rts7288966";"rts7288969";"rts7288970";"rts7288971";"rts7288972";"rts7288973";"rts7288974";"rts7288975";"rts7288976";"rts7288977";"rts7288978";"rts7288979";"rts7288980";"rts7288981";"rts7288982";"rts7288983";"rts7288986";"rts7288987";"rts7288988";"rts7288989";"rts7288990"
5;0;0;31;7288991;-77;456;"testJZ3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/109.0";"https://norstatsurveys.com/";0;1;"1,4,5";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";0;0;0;-77;-77;"b9d13e09e75856e42bf9ad99c692f086";1;0;1676287857;"13.02.2023 11:30";"13.02.2023 11:38";"0000-00-00 00:00:00";1;1;1;1;2;27;4;"-99";1;"-99";1;1;1;"-99";1;4;1;2;1;2;1;1;3;6;5;6;3;1;4;3;5;1;2;4;2;4;1;5;2;0;"-99";-77;-77;-77;-77;-77;4;-77;-77;-77;2;-77;-77;-77;-77;3;-77;-77;-77;"test";3;-77;1;-77;3;5;2;3;1;5;4;2;4;2;5;1;4;5;4;-77;5;-77;2;1;5;2;4;2;3;3;1;3;1;4;1;2;1;-77;2;-77;5;4;1;5;3;3;2;4;5;4;4;3;5;3;5;-77;3;-77;1;3;4;1;2;4;5;1;2;1;3;2;2;4;2;-77;4;-77;4;2;3;4;5;1;1;5;3;5;2;5;3;1;3;-77;1;-77;3;5;2;3;1;5;4;2;4;2;5;1;4;5;4;2;5;1;"test";1;1;0;0;1;0;0;0;0;1;2;3;2;3;4;1;2;3;4;5;5;4;3;4;3;2;4;1;3;2;5;2;4;3;1;2;5;1;3;2;4;1;2;4;5;1;4;3;3;2;5;2;4;4;1;5;3;5;3;"test";5;8;28;32;39;57;70;75;313;316;327;334;338;341;353;364;380;412;418;428;440;452;456
7;0;0;31;7288991;-77;1717;"1199209";"Mozilla/5.0 (Linux; Android 13; SM-G998B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36";"https://norstatsurveys.com/";0;2;"2,6,4";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288974,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288989,7288989,7288990,7288991";0;0;0;-77;-77;"2fa444bebeaad8b692694f4850816114";1;0;1676289727;"13.02.2023 12:02";"13.02.2023 12:30";"0000-00-00 00:00:00";1;1;1;1;2;30;2;"-99";2;"-99";7;1;6;"Eigenheim";3;4;2;2;2;2;1;2;1;6;2;3;4;4;5;1;1;4;1;4;4;1;6;2;3;0;"-99";5;-77;-77;-77;-77;-77;-77;2;2;-77;3;-77;-77;4;-77;-77;-77;-77;"-99";1;-77;2;2;2;2;2;2;2;3;2;3;2;1;-77;1;2;2;1;-77;3;2;2;2;2;3;2;2;2;2;2;1;-77;1;1;2;1;-77;2;2;3;2;3;3;4;2;3;3;3;2;-77;1;3;0;2;-77;3;2;3;2;3;3;3;2;2;3;3;2;-77;2;2;0;3;-77;3;3;4;2;2;2;2;2;2;3;3;3;-77;3;2;0;1;-77;3;2;2;2;3;3;3;3;1;3;2;1;-77;1;2;0;4;3;6;2;"-99";1;0;1;1;1;0;1;0;0;1;2;3;2;2;2;2;2;2;3;3;4;2;3;2;3;2;1;2;3;1;2;3;2;4;2;3;3;1;2;3;4;2;2;3;1;2;3;2;3;3;3;2;2;5;2;1;3;3;2;"-99";27;57;123;149;192;309;371;378;832;863;986;1033;1040;1055;1100;1154;1218;1349;1412;1485;1615;1710;1717
8;0;0;31;7288991;-77;598;"101222";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/109.0";"-99";0;2;"2,7,4";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288982,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";1;1;0;-77;-77;"a9279c15b7618243e341b489d20be80f";1;0;1676290139;"13.02.2023 12:08";"13.02.2023 12:18";"0000-00-00 00:00:00";1;1;1;1;2;48;3;"-99";1;"-99";8;2;3;"-99";2;5;4;4;4;2;4;4;4;5;5;4;6;5;6;6;5;5;5;5;5;4;5;5;5;0;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;5;1;6;2;"-99";1;0;0;0;0;0;0;0;0;1;5;5;1;4;4;1;3;3;3;3;3;1;4;3;3;5;3;4;4;5;5;5;5;5;2;2;2;1;5;5;5;5;5;5;3;5;5;5;5;5;5;3;1;4;3;2;1;3;3;"-99";166;172;198;202;226;268;271;274;276;283;325;338;342;344;357;380;426;479;495;526;569;596;598
9;0;0;32;7288991;-77;-1;"100212";"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-G991B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/19.0 Chrome/102.0.5005.125 Mobile Safari/537.36";"https://norstatsurveys.com/";0;7;"7,1,4";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";0;0;0;-77;-77;"04439fb4c98dd2f15f4193081def3ecd";1;0;1676290395;"13.02.2023 12:13";"13.02.2023 13:26";"0000-00-00 00:00:00";1;1;1;1;2;44;4;"-99";1;"-99";1;2;3;"-99";3;11;1;1;1;2;1;1;2;2;4;4;3;4;4;5;3;4;4;4;4;2;5;3;4;0;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;3;5;1;"-99";1;1;1;0;0;0;0;0;0;2;3;2;2;2;1;2;2;3;1;2;1;1;3;3;2;3;2;2;2;3;5;5;5;5;3;3;4;1;4;3;3;3;2;3;3;2;3;3;3;3;3;1;1;5;4;1;1;4;2;"-99";4;12;33;38;106;273;278;326;328;3897;3988;4017;4020;4023;4036;4081;4134;4206;4246;4300;4363;4394;4397
11;0;0;31;7288991;-77;1127;"1184194";"Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-A326B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36";"https://norstatsurveys.com/";0;3;"3,6,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";1;0;0;-77;-77;"87a1b01c22cfecbfcba7b5d61f3482ed";1;0;1676290922;"13.02.2023 12:22";"13.02.2023 12:40";"0000-00-00 00:00:00";1;1;1;1;1;34;3;"-99";1;"-99";3;2;2;"-99";2;5;4;3;2;3;3;4;4;5;4;6;6;5;4;5;5;6;6;6;5;3;4;4;6;0;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;5;2;7;1;"-99";0;0;0;0;1;0;0;0;0;1;5;3;2;3;4;2;4;4;3;3;3;1;5;2;4;5;3;3;4;4;3;4;4;3;4;3;4;1;2;1;1;2;2;3;3;2;3;3;5;5;5;2;2;5;4;2;1;4;1;"-99";8;30;116;138;186;311;317;319;321;342;476;521;525;542;562;623;687;823;909;1011;1096;1122;1127
12;0;0;31;7288991;-77;508;"101828";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 Edg/109.0.1518.78";"https://norstatsurveys.com/";0;3;"3,8,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288989,7288989,7288990,7288991";0;1;0;-77;-77;"35dfd8226be97d3fcacbd509ab0edaa3";1;0;1676291528;"13.02.2023 12:32";"13.02.2023 12:40";"0000-00-00 00:00:00";1;1;1;1;1;53;3;"-99";1;"-99";3;1;6;"eigenes Haus";2;11;5;5;5;5;5;5;6;6;6;6;6;6;6;6;6;1;6;6;6;6;6;6;6;0;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";-77;-77;-77;-77;-77;-77;-77;-77;-77;1;-77;-77;-77;-77;-77;-77;-77;0;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;-77;-77;-77;-77;-77;-77;-77;0;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;-77;-77;-77;-77;-77;-77;-77;0;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;-77;-77;-77;-77;-77;-77;-77;0;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;-77;-77;-77;-77;-77;-77;-77;0;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;-77;-77;-77;-77;-77;-77;-77;0;4;1;5;2;"-99";0;0;0;0;0;0;0;0;1;5;5;5;2;5;3;4;5;4;4;5;1;1;4;3;5;5;3;4;4;5;2;2;2;2;5;4;5;1;1;2;2;1;2;2;2;2;3;2;5;5;5;2;1;5;5;2;1;4;1;"-99";7;44;70;74;87;121;124;128;167;180;206;224;227;230;239;267;304;354;376;421;464;504;508
13;0;0;31;7288991;-77;1748;"102939";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1";"https://norstatsurveys.com/";0;3;"3,1,6";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288972,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288983,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";0;1;0;-77;-77;"0f0b003311000e3911a1a4164c0dff0e";1;0;1676291729;"13.02.2023 12:35";"13.02.2023 13:04";"0000-00-00 00:00:00";1;1;1;1;1;36;5;"-99";1;"-99";3;2;3;"-99";3;6;2;2;3;1;1;4;1;4;1;1;1;1;1;1;1;1;1;6;4;1;1;1;6;0;"-99";7;-77;11;10;5;9;6;1;2;8;4;-77;-77;9;3;9;-77;-77;"-99";1;2;1;1;1;1;1;1;1;3;1;-77;1;1;1;1;-77;0;1;1;1;1;1;1;1;1;1;1;1;-77;1;1;1;1;-77;1;1;1;1;1;1;1;1;1;1;1;1;-77;1;1;1;1;-77;0;1;1;1;2;1;2;1;2;1;1;1;-77;1;1;1;2;-77;0;4;4;2;2;3;2;1;1;1;2;3;-77;4;3;3;4;-77;0;1;2;2;3;1;1;2;3;2;2;1;-77;2;1;3;1;-77;0;2;6;1;3;"-99";1;0;1;0;0;1;1;0;0;1;5;5;1;1;2;1;5;3;2;4;1;1;4;1;4;3;1;3;2;1;4;5;5;5;1;1;1;1;3;1;1;2;1;1;1;2;1;1;3;3;2;1;2;5;5;1;1;5;1;"-99";13;53;87;94;601;664;760;763;1017;1025;1136;1194;1196;1200;1216;1275;1313;1452;1522;1664;1705;1745;1748
16;0;0;31;7288991;-77;1367;"1193203";"Mozilla/5.0 (Linux; Android 9; ANE-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36";"https://norstatsurveys.com/";0;7;"7,3,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";0;1;0;-77;-77;"592f91836cde2bc4cc5b0e718f57f60b";1;0;1676292971;"13.02.2023 12:56";"13.02.2023 13:18";"0000-00-00 00:00:00";1;1;1;1;1;47;3;"-99";1;"-99";2;3;3;"-99";2;6;1;1;1;1;1;3;3;3;3;2;4;1;5;5;1;3;3;4;1;5;6;2;3;0;"-99";-77;-77;-77;-77;-77;3;-77;-77;2;-77;-77;-77;2;-77;-77;-77;-77;-77;"-99";1;2;1;1;3;2;3;5;1;2;2;2;2;3;-77;2;3;0;2;2;3;2;3;2;3;4;2;4;2;3;2;3;-77;2;3;0;1;1;1;1;3;2;4;5;3;2;2;3;1;3;-77;1;2;0;1;1;1;1;3;1;4;4;3;1;2;3;1;3;-77;1;1;0;2;2;2;3;3;2;4;4;2;2;2;3;2;3;-77;2;2;0;2;2;2;2;3;2;4;4;3;2;2;3;2;3;-77;1;2;0;3;3;4;1;"-99";1;0;0;0;0;1;1;1;0;3;2;4;2;2;2;2;2;2;4;2;5;1;3;4;2;3;2;2;2;2;4;3;4;4;2;2;4;1;3;2;3;2;1;2;2;2;3;3;4;2;3;3;1;5;4;1;2;5;3;"-99";25;82;125;139;203;346;390;398;750;775;850;895;899;907;942;987;1049;1142;1198;1253;1336;1362;1367
17;0;0;31;7288991;-77;732;"1171181";"Mozilla/5.0 (Linux; Android 12; M2101K7BNY) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36";"https://norstatsurveys.com/";0;5;"5,3,2";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288972,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";1;1;0;-77;-77;"23427baa811cf8e25f1ef7f5db7a52e0";1;0;1676293140;"13.02.2023 12:59";"13.02.2023 13:11";"0000-00-00 00:00:00";1;1;1;1;1;18;1;"-99";6;"-99";8;3;2;"-99";3;2;3;3;3;3;3;3;6;6;3;1;6;1;1;1;1;3;1;3;4;6;1;6;3;0;"-99";-77;-77;-77;6;-77;2;8;4;3;-77;5;-77;-77;-77;7;-77;-77;-77;"-99";-77;-77;3;3;-77;3;3;3;3;3;3;3;3;-77;3;-77;3;3;-77;-77;3;3;-77;3;3;3;3;3;3;3;3;-77;3;-77;3;3;-77;-77;3;3;-77;3;3;3;3;3;3;3;3;-77;3;-77;3;3;-77;-77;3;3;-77;3;3;3;3;3;3;3;3;-77;3;-77;3;3;-77;-77;3;3;-77;3;3;3;3;3;3;3;3;-77;3;-77;3;3;-77;-77;3;3;-77;3;3;3;3;3;3;3;3;-77;3;-77;3;3;7;4;4;2;"-99";1;1;1;1;1;1;1;1;0;1;3;4;2;3;3;2;2;2;2;3;3;2;2;2;2;2;1;1;1;1;5;5;4;5;1;1;1;1;2;1;3;3;3;3;3;2;3;3;4;3;3;3;2;3;3;2;2;4;2;"-99";8;41;62;65;88;174;233;243;357;360;381;402;405;408;422;462;519;594;623;648;702;726;732
18;0;0;31;7288991;-77;886;"103040";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1";"https://norstatsurveys.com/";0;1;"1,5,3";0;"7288964,7288965,7288966,7288967,7288969,7288970,7288971,7288972,7288973,7288974,7288975,7288976,7288977,7288978,7288979,7288980,7288981,7288982,7288983,7288984,7288986,7288987,7288988,7288989,7288990,7288991";0;1;0;-77;-77;"904865ac38a316958a266418af788871";1;0;1676294205;"13.02.2023 13:16";"13.02.2023 13:31";"0000-00-00 00:00:00";1;1;1;1;1;20;4;"-99";6;"-99";1;3;3;"-99";2;11;3;1;1;1;1;3;3;4;4;4;6;6;6;6;6;4;3;6;4;3;5;2;5;0;"-99";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;"-66";-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;1;4;2;"Ich halte smarte Technologie sehr sinnvoll für die Inklusion und Assistenz für ältere Leute/Menschen mit Behinderung. Aber viele sind einfach unnötig und fördern nur den Massenkonsum von sachen die wir nicht brauchen. Zudem ist Datenschutz auch ein Problem, das gelöst werden muss";1;1;1;0;1;0;0;0;0;1;5;3;1;2;1;2;4;5;1;5;1;1;4;1;5;5;2;2;3;5;5;5;5;5;1;1;1;1;5;2;3;2;1;1;1;1;2;2;4;4;4;1;1;5;5;1;1;5;1;"-99";8;18;37;40;80;346;348;350;351;355;397;424;526;528;549;591;641;707;746;810;866;883;886
